,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,김포시,화성시,의왕시
MAE,4.437183380126953,2.2295830249786377,2.6113038063049316,2.336038827896118,4.735860824584961,6.215045928955078,1.9133367538452148,5.386347770690918,6.3448357582092285,1.2078845500946045,5.589602947235107,5.842870712280273,2.786609649658203,4.364320278167725,2.398530960083008,5.518290042877197,2.439903974533081
RMSE,6.023863792419434,2.8758866786956787,3.70751953125,3.269886016845703,5.628844261169434,8.194612503051758,2.636929750442505,6.03381872177124,8.19010066986084,1.4156981706619263,7.89137077331543,8.27719783782959,3.305865526199341,5.798752307891846,3.511186122894287,6.6671247482299805,2.9620962142944336
MAPE,0.04992593824863434,0.02402016520500183,0.03059730865061283,0.025068286806344986,0.05444350838661194,0.07027705013751984,0.021061478182673454,0.05745939910411835,0.06950068473815918,0.013591436669230461,0.06555711477994919,0.06646476686000824,0.030171675607562065,0.048860400915145874,0.026803219690918922,0.06102972477674484,0.028768103569746017
R2,0.7360603001170802,0.8412416603361826,0.9139544849714554,0.8945331905533181,0.7303095900430676,0.6481614732466674,0.9371515993225722,0.03906289469235713,0.4642031311437742,0.985572917052118,0.6248838165546676,0.6243460485198635,0.8677387267794191,0.716000504574302,0.8056533583770182,0.6049448543194633,0.9580397455251206
