,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,김포시,화성시,의왕시,평택시,동두천시,이천시,안성시,여주시,포천시,의정부시,파주시,광주시,양주시,오산시
MAE,4.437183380126953,2.2295830249786377,2.6113038063049316,2.336038827896118,4.735860824584961,6.215045928955078,1.9133367538452148,5.386347770690918,6.3448357582092285,1.2078845500946045,5.589602947235107,5.842870712280273,2.786609649658203,4.364320278167725,2.398530960083008,5.518290042877197,2.439903974533081,6.768009185791016,4.311038017272949,1.5825109481811523,3.028118848800659,1.3370707035064697,0.6999404430389404,2.7081968784332275,2.7953083515167236,4.4101762771606445,1.8138976097106934,13.824869155883789
RMSE,6.023863792419434,2.8758866786956787,3.70751953125,3.269886016845703,5.628844261169434,8.194612503051758,2.636929750442505,6.03381872177124,8.19010066986084,1.4156981706619263,7.89137077331543,8.27719783782959,3.305865526199341,5.798752307891846,3.511186122894287,6.6671247482299805,2.9620962142944336,7.795057773590088,5.017410755157471,2.4219329357147217,3.920886516571045,1.659874439239502,1.0102851390838623,3.287693977355957,3.8783445358276367,5.2133917808532715,2.3563292026519775,15.771202087402344
MAPE,0.04992593824863434,0.02402016520500183,0.03059730865061283,0.025068286806344986,0.05444350838661194,0.07027705013751984,0.021061478182673454,0.05745939910411835,0.06950068473815918,0.013591436669230461,0.06555711477994919,0.06646476686000824,0.030171675607562065,0.048860400915145874,0.026803219690918922,0.06102972477674484,0.028768103569746017,0.07587786018848419,0.04564088210463524,0.01579906791448593,0.032065071165561676,0.0132396649569273,0.00705160666257143,0.03020966425538063,0.02977072075009346,0.050952162593603134,0.019649963825941086,0.1562679409980774
R2,0.7360603001170802,0.8412416603361826,0.9139544849714554,0.8945331905533181,0.7303095900430676,0.6481614732466674,0.9371515993225722,0.03906289469235713,0.4642031311437742,0.985572917052118,0.6248838165546676,0.6243460485198635,0.8677387267794191,0.716000504574302,0.8056533583770182,0.6049448543194633,0.9580397455251206,0.2923113351867247,0.37527001232457124,0.7209059495907494,0.769041404414226,0.570592599401133,0.9477356822503595,0.865504885515457,0.7650568213449989,0.6099614971015952,0.9282215446491869,-0.6889039915233295
