,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,여주시,포천시,의왕시,오산시
MAE,2.6638681888580322,1.7210233211517334,10.154169082641602,6.158520698547363,3.5593008995056152,4.920932769775391,8.355008125305176,4.188100814819336,4.214044570922852,4.7225446701049805,6.175694942474365,4.669734001159668,3.383244514465332,8.743824005126953,8.405105590820312,2.006216287612915,5.103774547576904,4.395224571228027,4.784118175506592,6.217432975769043,3.268697738647461,4.688225746154785,4.484114646911621,4.334527969360352,3.447465419769287,4.302207946777344,5.332204818725586,11.883026123046875
RMSE,3.7602860927581787,2.335554361343384,10.967662811279297,7.446346759796143,4.460506439208984,6.2867231369018555,10.370914459228516,5.960886478424072,6.627552509307861,5.94504451751709,6.7841105461120605,5.9082350730896,5.393097877502441,11.14189338684082,11.349532127380371,2.5475821495056152,7.608112812042236,5.845430850982666,6.207248687744141,9.459573745727539,4.39125394821167,5.550022602081299,5.13773250579834,5.366089344024658,4.063708305358887,5.338419437408447,6.811891078948975,15.999377250671387
MAPE,0.029632162302732468,0.018248818814754486,0.11692213267087936,0.06999331712722778,0.03863175958395004,0.0524851456284523,0.08818209171295166,0.044802457094192505,0.04605618864297867,0.05484655871987343,0.06435784697532654,0.04919601231813431,0.03918471932411194,0.10355663299560547,0.0973273441195488,0.02099645882844925,0.05177638307213783,0.04791940748691559,0.04889596253633499,0.06072508543729782,0.03720377758145332,0.05102647840976715,0.049083512276411057,0.04781465232372284,0.034253865480422974,0.04419662803411484,0.06191398948431015,0.12408233433961868
R2,0.897151915403082,0.8952936788903949,-0.4967592020898042,0.6529054445212064,0.8037458208393166,0.6635847360800436,-0.25267283879525526,0.11823133438600164,0.7698595807822575,0.6805467644512699,-0.21477633031659948,0.7211714511534992,0.7906303023493775,0.2522113148325381,0.2937193994770404,0.9214549754160364,0.5111199971191689,0.46629280377904914,-0.8332625636934221,-0.3443388008270476,0.696018981699865,0.7262399720065689,0.6212001994064726,0.6277471570597866,-1.5737363454442268,-0.4592937025693522,0.7780908449568056,-0.738127115682357
