,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,김포시,화성시,의왕시
MAE,4.890296936035156,2.4115138053894043,2.832352876663208,1.126525640487671,3.3549702167510986,4.69154167175293,2.733419179916382,5.156946182250977,10.108787536621094,2.313981771469116,2.4384326934814453,3.818336009979248,3.4003453254699707,3.4659204483032227,1.9934046268463135,8.000404357910156,7.2251763343811035
RMSE,5.880621433258057,3.589420795440674,3.90403413772583,1.3722143173217773,3.7069613933563232,5.754236221313477,3.7411820888519287,5.74171257019043,11.433064460754395,2.8250997066497803,2.6781656742095947,4.493984222412109,4.018343448638916,4.5677266120910645,2.675640106201172,10.324142456054688,9.155536651611328
MAPE,0.05452204495668411,0.025147419422864914,0.033486124128103256,0.012478101998567581,0.03767771273851395,0.0529269240796566,0.032849930226802826,0.05475948005914688,0.1138722151517868,0.02649468556046486,0.028860334306955338,0.046103231608867645,0.03674473613500595,0.036656513810157776,0.021161934360861778,0.08920053392648697,0.09089028090238571
R2,0.7484635789345779,0.7526899399133882,0.9045911861276958,0.98142646957173,0.8830330560680288,0.826515015246066,0.8734929292658594,0.12985165006359245,-0.04411186068257056,0.9425480541672493,0.9567948218190947,0.8892651457350845,0.8045856570505208,0.8237826365197725,0.8871439850461624,0.05269782588836569,0.599126393378904
