,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,여주시,포천시,의왕시,오산시
MAE,4.43718338,2.229583025,1.331464291,3.030912399,1.939129353,5.111907005,6.553839684,3.836872816,7.615225792,1.902006626,4.903587341,3.485271931,2.874883413,2.495262384,3.00316453,3.795171976,5.208249092,3.952968836,1.760895491,2.260867596,2.146231651,2.946174383,2.780270576,1.806421518,1.341758728,0.754660845,3.707803488,13.82486916
RMSE,6.023863792,2.875886679,1.60107255,3.849487305,2.424736261,5.457941532,7.110641003,5.510259151,8.733398438,2.354176283,5.643083096,4.711534977,3.517290354,3.903347969,3.552548409,4.646534443,6.377595901,4.691475391,2.579634905,2.790643692,2.636501789,3.527460098,3.452032566,2.21548748,1.662404537,1.016458988,5.468292236,15.77120209
MAPE,0.049925938,0.024020165,0.015023128,0.035950556,0.021861413,0.057075489,0.073896401,0.039632715,0.089150943,0.022356126,0.05218371,0.037013635,0.032400001,0.027015828,0.035255086,0.041570209,0.05603547,0.044140816,0.017680924,0.02424214,0.022996597,0.032257751,0.031018987,0.01979186,0.013283249,0.007607787,0.04431235,0.156267941
R2,0.7360603,0.84124166,0.9681033,0.907238646,0.942006466,0.746437627,0.411127773,0.246510744,0.600374635,0.949907227,0.159489133,0.822684572,0.91094595,0.908222662,0.93080077,0.738711274,0.656471769,0.656213364,0.683376705,0.883003095,0.890421456,0.889412837,0.828991972,0.936545727,0.569282584,0.947094962,0.856997601,-0.688903992
cluster,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,1,1,0,2
