,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,여주시,포천시,의왕시,오산시
MAE,4.890296936,2.411513805,10.1541729,3.894019127,1.336944103,4.227237701,6.265714645,2.428313494,10.00373173,5.519609451,6.239081383,3.401574373,1.542111158,16.91194534,3.592565536,2.530647516,3.366026402,2.804733515,0.902870655,12.89422607,5.506895542,3.393749475,3.363850594,2.478710413,1.32120657,0.872507334,8.501179695,13.81323624
RMSE,5.880621433,3.589420795,10.96766758,5.371177197,1.868682384,4.658380032,7.237347126,3.28234911,13.16011524,7.268795013,7.052659512,4.29138279,1.980910182,18.09128189,4.571373463,3.500836372,4.531003952,4.965344429,1.526392341,13.64919662,7.107132435,3.992662668,3.955491304,2.982308149,1.62142992,1.274936557,10.40598488,15.5239172
MAPE,0.054522045,0.025147419,0.116922177,0.04642785,0.014667319,0.046993032,0.072033957,0.024838887,0.1171868,0.063059479,0.06626299,0.037438113,0.016871072,0.209645808,0.041414443,0.026865743,0.035786953,0.029709883,0.008902274,0.139857113,0.061877783,0.038356744,0.038686566,0.027012363,0.013093534,0.008760883,0.106695086,0.156766281
R2,0.748463579,0.75268994,-0.496760378,0.819407248,0.965555366,0.815287248,0.389954268,0.73263621,0.092585154,0.522446543,-0.312853535,0.852898801,0.971753362,-0.971512656,0.885418435,0.851677891,0.826604727,0.614904167,0.889144123,-1.798850915,0.203734058,0.85832092,0.775473498,0.885018691,0.590253374,0.916767211,0.482147367,-0.636356767
cluster,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,1,1,0,2
