,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시
MAE,2.7940146923065186,2.635830879211426,7.468027114868164,5.156094551086426,7.6557135581970215,3.8183133602142334,6.523229598999023,6.743870735168457,5.490686416625977,1.7561898231506348,6.953496932983398,4.003951072692871,3.1596593856811523,12.25793743133545,7.76832389831543,2.821284294128418,9.963375091552734,3.5067334175109863,3.824747323989868,2.96584415435791,4.2344584465026855,3.854440927505493,2.2075886726379395,4.171687126159668,3.809830665588379,2.2974982261657715,2.6797869205474854,2.8055763244628906
RMSE,4.005165100097656,4.352663993835449,9.315220832824707,7.359940528869629,10.059388160705566,4.526253700256348,8.320693969726562,7.1560258865356445,7.895775318145752,2.2608442306518555,8.348848342895508,5.275015354156494,4.7125067710876465,15.85294246673584,10.30678653717041,3.636669158935547,12.104327201843262,5.392591953277588,5.191417217254639,3.788177490234375,5.470810413360596,5.51499080657959,2.7820942401885986,5.118691921234131,4.5997633934021,3.0288352966308594,3.3746869564056396,3.0737547874450684
MAPE,0.030745379626750946,0.026474604383111,0.08509113639593124,0.0571468286216259,0.08661133050918579,0.041484855115413666,0.06779401749372482,0.0720350444316864,0.058685801923274994,0.020200353115797043,0.07265131175518036,0.04177550971508026,0.03468668833374977,0.13179746270179749,0.09300928562879562,0.03377358615398407,0.12639909982681274,0.03913334012031555,0.04025338590145111,0.03247271850705147,0.0433073453605175,0.03786449879407883,0.024382269009947777,0.0446479395031929,0.042204998433589935,0.02493242546916008,0.027779631316661835,0.027924206107854843
R2,0.8833203295504507,0.6363335592424915,-0.07971707466247935,0.6609139548747409,0.0018546553255851528,0.8256167020851055,0.19365172528601615,-0.2707988272921191,0.6733550009476914,0.9538003866352858,-0.8397702069079578,0.7777359982043895,0.8401395155476905,-0.7064562749225047,0.36010679927710865,0.9274848333866906,0.29931773088556457,0.6480690900847591,0.7723748198108898,0.7758541449511657,-0.42406473806193556,0.5430642556984714,0.8779850554840046,0.7671380523944137,0.696374911193411,0.881403042298254,0.4168446074196859,-0.4725072614166166
